País,Año,Producción E. Biocombustible [TWh],Porcentaje E. Biocombustible [% total],Producción E. Carbón [TWh],Porcentaje E. Carbón [% total],Demanda Electricidad [TWh],Producción Total Electricidad [TWh],Producción E. Fósiles [TWh],Porcentaje E. Fósiles [% total],Producción E. Gas [TWh],Porcentaje E. Gas [% total],Producción E. Hidroeléctrica [TWh],Porcentaje E. Hidroeléctrica [% total],Producción E. Fuentes Bajo C. [TWh],Porcentaje E. Fuentes Bajo C. [% total],Importaciones E. Total [TWh],Producción E. Nuclear [TWh],Porcentaje E. Nuclear [% total],Producción E. Petróleo [TWh],Porcentaje E. Petróleo [% total],Producción E. Otras E. Renovables [TWh],Producción E. Otras E. Renovables sin Biocombustible [TWh],Porcentaje E. Otras E. Renovables [% total],Porcentaje E. Otras E. Renovables sin Biocombustible [% total],Producción E. Renovables [TWh],Porcentaje E. Renovables [% total],Producción E. Solar [TWh],Porcentaje E. Solar [% total],Producción E. Viento [TWh],Porcentaje E. Viento [% total]
Uruguay,2007,0.14,1.493,0.0,0.0,9.19,9.38,1.22,13.006,0.0,0.0,8.02,85.501,8.16,86.994,-0.19,0.0,0.0,1.22,13.006,0.14,0.0,1.493,0.0,8.16,86.994,0.0,0.0,0.0,0.0
Uruguay,2008,0.87,9.92,0.0,0.0,9.7,8.77,3.4,38.769,0.01,0.114,4.5,51.311,5.37,61.231,0.93,0.0,0.0,3.39,38.655,0.87,0.0,9.92,0.0,5.37,61.231,0.0,0.0,0.0,0.0
Uruguay,2009,0.81,9.343,0.0,0.0,9.9,8.67,2.76,31.834,0.02,0.231,5.06,58.362,5.91,68.166,1.23,0.0,0.0,2.74,31.603,0.81,0.0,9.343,0.0,5.91,68.166,0.0,0.0,0.04,0.461
Uruguay,2010,1.1,10.242,0.0,0.0,10.42,10.74,1.16,10.801,0.08,0.745,8.41,78.305,9.58,89.199,-0.32,0.0,0.0,1.08,10.056,1.1,0.0,10.242,0.0,9.58,89.199,0.0,0.0,0.07,0.652
Uruguay,2011,1.13,10.928,0.0,0.0,10.8,10.34,2.62,25.338,0.09,0.87,6.48,62.669,7.72,74.662,0.46,0.0,0.0,2.53,24.468,1.13,0.0,10.928,0.0,7.72,74.662,0.0,0.0,0.11,1.064
Uruguay,2012,1.32,12.453,0.0,0.0,11.15,10.6,3.75,35.377,0.01,0.094,5.42,51.132,6.85,64.623,0.55,0.0,0.0,3.74,35.283,1.32,0.0,12.453,0.0,6.85,64.623,0.0,0.0,0.11,1.038
Uruguay,2013,1.46,12.521,0.0,0.0,11.45,11.66,1.85,15.866,0.0,0.0,8.21,70.412,9.81,84.134,-0.21,0.0,0.0,1.85,15.866,1.46,0.0,12.521,0.0,9.81,84.134,0.0,0.0,0.14,1.201
Uruguay,2014,1.92,14.792,0.0,0.0,11.71,12.98,0.68,5.239,0.0,0.0,9.65,74.345,12.3,94.761,-1.27,0.0,0.0,0.68,5.239,1.92,0.0,14.792,0.0,12.3,94.761,0.0,0.0,0.73,5.624
Uruguay,2015,2.41,17.54,0.0,0.0,12.42,13.74,0.94,6.841,0.0,0.0,8.27,60.189,12.8,93.159,-1.32,0.0,0.0,0.94,6.841,2.41,0.0,17.54,0.0,12.8,93.159,0.05,0.364,2.07,15.066
Uruguay,2016,2.45,17.664,0.0,0.0,13.12,13.87,0.44,3.172,0.0,0.0,7.84,56.525,13.43,96.828,-0.75,0.0,0.0,0.44,3.172,2.45,0.0,17.664,0.0,13.43,96.828,0.15,1.081,2.99,21.557
Uruguay,2017,2.57,17.909,0.0,0.0,12.89,14.35,0.22,1.533,0.03,0.209,7.52,52.404,14.13,98.467,-1.46,0.0,0.0,0.19,1.324,2.57,0.0,17.909,0.0,14.13,98.467,0.27,1.882,3.77,26.272
Uruguay,2018,2.55,17.454,0.0,0.0,13.43,14.61,0.36,2.464,0.01,0.068,6.56,44.901,14.25,97.536,-1.18,0.0,0.0,0.35,2.396,2.55,0.0,17.454,0.0,14.25,97.536,0.41,2.806,4.73,32.375
Uruguay,2019,2.51,15.619,0.0,0.0,13.06,16.07,0.28,1.742,0.12,0.747,8.11,50.467,15.79,98.258,-3.01,0.0,0.0,0.16,0.996,2.51,0.0,15.619,0.0,15.79,98.258,0.42,2.614,4.75,29.558
Uruguay,2020,2.73,20.118,0.0,0.0,12.94,13.57,0.81,5.969,0.0,0.0,4.09,30.14,12.76,94.031,-0.63,0.0,0.0,0.81,5.969,2.73,0.0,20.118,0.0,12.76,94.031,0.46,3.39,5.48,40.383
Uruguay,2021,2.79,17.448,0.0,0.0,13.2,15.99,2.46,15.385,0.01,0.063,5.27,32.958,13.53,84.615,-2.79,0.0,0.0,2.45,15.322,2.79,0.0,17.448,0.0,13.53,84.615,0.48,3.002,4.99,31.207
Uruguay,2022,2.84,18.709,0.0,0.0,13.08,15.18,1.37,9.025,0.0,0.0,5.69,37.484,13.81,90.975,-2.1,0.0,0.0,1.37,9.025,2.84,0.0,18.709,0.0,13.81,90.975,0.5,3.294,4.78,31.489
Uruguay,2023,3.03,22.955,0.0,0.0,13.6,13.2,1.35,10.227,0.0,0.0,3.62,27.424,11.85,89.773,0.4,0.0,0.0,1.35,10.227,3.03,0.0,22.955,0.0,11.85,89.773,0.46,3.485,4.74,35.909
