País,Año,Producción E. Biocombustible [TWh],Porcentaje E. Biocombustible [% total],Producción E. Carbón [TWh],Porcentaje E. Carbón [% total],Demanda Electricidad [TWh],Producción Total Electricidad [TWh],Producción E. Fósiles [TWh],Porcentaje E. Fósiles [% total],Producción E. Gas [TWh],Porcentaje E. Gas [% total],Producción E. Hidroeléctrica [TWh],Porcentaje E. Hidroeléctrica [% total],Producción E. Fuentes Bajo C. [TWh],Porcentaje E. Fuentes Bajo C. [% total],Importaciones E. Total [TWh],Producción E. Nuclear [TWh],Porcentaje E. Nuclear [% total],Producción E. Petróleo [TWh],Porcentaje E. Petróleo [% total],Producción E. Otras E. Renovables [TWh],Producción E. Otras E. Renovables sin Biocombustible [TWh],Porcentaje E. Otras E. Renovables [% total],Porcentaje E. Otras E. Renovables sin Biocombustible [% total],Producción E. Renovables [TWh],Porcentaje E. Renovables [% total],Producción E. Solar [TWh],Porcentaje E. Solar [% total],Producción E. Viento [TWh],Porcentaje E. Viento [% total]
Bolivia,2014,0.13,1.566,0.0,0.0,8.3,8.3,5.92,71.325,5.84,70.361,2.23,26.867,2.38,28.675,0.0,0.0,0.0,0.08,0.964,0.13,0.0,1.566,0.0,2.38,28.675,0.01,0.12,0.01,0.12
Bolivia,2015,0.2,2.222,0.0,0.0,9.0,9.0,6.35,70.556,6.26,69.556,2.44,27.111,2.65,29.444,0.0,0.0,0.0,0.09,1.0,0.2,0.0,2.222,0.0,2.65,29.444,0.0,0.0,0.01,0.111
Bolivia,2016,0.18,1.935,0.0,0.0,9.3,9.3,7.37,79.247,7.27,78.172,1.7,18.28,1.93,20.753,0.0,0.0,0.0,0.1,1.075,0.18,0.0,1.935,0.0,1.93,20.753,0.01,0.108,0.04,0.43
Bolivia,2017,0.13,1.356,0.0,0.0,9.59,9.59,7.18,74.87,7.09,73.931,2.21,23.045,2.41,25.13,0.0,0.0,0.0,0.09,0.938,0.13,0.0,1.356,0.0,2.41,25.13,0.01,0.104,0.06,0.626
Bolivia,2018,0.17,1.726,0.0,0.0,9.85,9.85,6.88,69.848,6.79,68.934,2.61,26.497,2.97,30.152,0.0,0.0,0.0,0.09,0.914,0.17,0.0,1.726,0.0,2.97,30.152,0.13,1.32,0.06,0.609
Bolivia,2019,0.24,2.36,0.0,0.0,10.17,10.17,6.42,63.127,6.33,62.242,3.25,31.957,3.75,36.873,0.0,0.0,0.0,0.09,0.885,0.24,0.0,2.36,0.0,3.75,36.873,0.19,1.868,0.07,0.688
Bolivia,2020,0.24,2.41,0.0,0.0,9.96,9.96,6.39,64.157,6.33,63.554,2.94,29.518,3.57,35.843,0.0,0.0,0.0,0.06,0.602,0.24,0.0,2.41,0.0,3.57,35.843,0.33,3.313,0.06,0.602
Bolivia,2021,0.28,2.627,0.0,0.0,10.66,10.66,6.66,62.477,6.45,60.507,3.24,30.394,4.0,37.523,0.0,0.0,0.0,0.21,1.97,0.28,0.0,2.627,0.0,4.0,37.523,0.35,3.283,0.13,1.22
Bolivia,2022,0.39,3.388,0.0,0.0,11.51,11.51,7.48,64.987,7.27,63.162,2.85,24.761,4.03,35.013,0.0,0.0,0.0,0.21,1.825,0.39,0.0,3.388,0.0,4.03,35.013,0.35,3.041,0.44,3.823
Bolivia,2023,0.37,3.045,0.0,0.0,12.15,12.15,8.65,71.193,8.44,69.465,2.31,19.012,3.5,28.807,0.0,0.0,0.0,0.21,1.728,0.37,0.0,3.045,0.0,3.5,28.807,0.35,2.881,0.47,3.868
Brazil,2004,12.52,3.231,10.37,2.676,424.87,387.49,42.5,10.968,19.26,4.97,320.8,82.789,344.99,89.032,37.38,11.61,2.996,12.87,3.321,12.515,0.0,3.23,0.0,333.38,86.036,0.0,0.0,0.06,0.015
Brazil,2005,13.64,3.384,10.68,2.65,442.11,403.07,42.03,10.427,18.81,4.667,337.46,83.722,361.04,89.573,39.04,9.85,2.444,12.54,3.111,13.643,0.0,3.385,0.0,351.19,87.129,0.0,0.0,0.09,0.022
Brazil,2006,14.85,3.54,10.47,2.496,460.61,419.45,41.81,9.968,18.26,4.353,348.8,83.157,377.64,90.032,41.16,13.75,3.278,13.08,3.118,14.846,0.0,3.539,0.0,363.89,86.754,0.0,0.0,0.24,0.057
Brazil,2007,18.06,4.057,10.08,2.264,483.98,445.15,40.06,8.999,15.5,3.482,374.02,84.021,405.09,91.001,38.83,12.35,2.774,14.48,3.253,18.063,0.0,4.058,0.0,392.74,88.226,0.0,0.0,0.66,0.148
Brazil,2008,19.79,4.273,11.96,2.582,505.39,463.18,58.68,12.669,28.78,6.214,369.56,79.788,404.5,87.331,42.21,13.97,3.016,17.94,3.873,19.786,0.0,4.272,0.0,390.53,84.315,0.0,0.0,1.18,0.255
Brazil,2009,22.88,4.908,9.97,2.139,506.15,466.17,38.1,8.173,13.33,2.859,390.99,83.873,428.07,91.827,39.98,12.96,2.78,14.8,3.175,22.876,0.0,4.907,0.0,415.11,89.047,0.0,0.0,1.24,0.266
Brazil,2010,31.94,6.192,11.29,2.189,550.45,515.8,63.87,12.383,36.48,7.073,403.29,78.187,451.93,87.617,34.65,14.52,2.815,16.1,3.121,31.942,0.0,6.193,0.0,437.41,84.802,0.0,0.0,2.18,0.423
Brazil,2011,32.63,6.136,12.6,2.369,567.65,531.76,52.44,9.862,25.1,4.72,428.33,80.549,479.32,90.138,35.89,15.66,2.945,14.74,2.772,32.629,0.0,6.136,0.0,463.66,87.193,0.0,0.0,2.7,0.508
Brazil,2012,35.77,6.474,14.47,2.619,592.76,552.5,80.3,14.534,46.76,8.463,415.34,75.175,472.2,85.466,40.26,16.04,2.903,19.07,3.452,35.766,0.0,6.473,0.0,456.16,82.563,0.0,0.0,5.05,0.914
Brazil,2013,40.97,7.177,21.97,3.849,611.16,570.83,116.84,20.468,69.0,12.088,390.99,68.495,453.99,79.532,40.33,15.45,2.707,25.87,4.532,40.972,0.0,7.178,0.0,438.54,76.825,0.0,0.0,6.58,1.153
Brazil,2014,47.08,7.972,26.9,4.555,624.33,590.55,142.42,24.117,81.07,13.728,373.44,63.236,448.13,75.883,33.78,15.38,2.604,34.45,5.834,47.079,0.0,7.972,0.0,432.75,73.279,0.02,0.003,12.21,2.068
Brazil,2015,49.88,8.582,26.98,4.642,615.64,581.22,135.18,23.258,79.49,13.676,359.74,61.894,446.04,76.742,34.42,14.73,2.534,28.71,4.94,49.88,0.0,8.582,0.0,431.31,74.208,0.06,0.01,21.63,3.721
Brazil,2016,51.33,8.867,25.67,4.434,619.68,578.89,97.21,16.792,56.48,9.757,380.91,65.8,481.68,83.208,40.79,15.86,2.74,15.06,2.602,51.335,0.0,8.868,0.0,465.82,80.468,0.09,0.016,33.49,5.785
Brazil,2017,52.91,8.978,22.85,3.877,625.67,589.32,106.56,18.082,65.59,11.13,370.91,62.939,482.76,81.918,36.35,15.74,2.671,18.12,3.075,52.912,0.0,8.979,0.0,467.02,79.247,0.83,0.141,42.37,7.19
Brazil,2018,54.38,9.042,20.8,3.459,636.37,601.39,90.43,15.037,54.62,9.082,388.97,64.678,510.96,84.963,34.98,15.67,2.606,15.01,2.496,54.382,0.0,9.043,0.0,495.29,82.358,3.46,0.575,48.48,8.061
Brazil,2019,54.92,8.672,21.68,3.423,658.29,633.33,101.76,16.067,65.96,10.415,397.88,62.823,531.57,83.933,24.96,16.13,2.547,14.12,2.229,54.921,0.0,8.672,0.0,515.44,81.386,6.65,1.05,55.99,8.841
Brazil,2020,58.74,9.342,17.75,2.823,653.48,628.76,91.79,14.599,59.48,9.46,396.38,63.042,536.97,85.401,24.72,14.05,2.235,14.56,2.316,58.742,0.0,9.342,0.0,522.92,83.167,10.75,1.71,57.05,9.073
Brazil,2021,55.72,8.492,24.24,3.695,679.21,656.11,133.83,20.397,86.96,13.254,362.82,55.299,522.28,79.603,23.1,14.7,2.24,22.63,3.449,55.724,0.0,8.493,0.0,507.58,77.362,16.75,2.553,72.29,11.018
